ABDALA de MATARAZZO, Norma Amanda;FCxS;Santiago del Estero;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;2
ACOSTA, María Julia;FPV;Catamarca;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2
AGOSTO, Walter Alfredo;PF;Santa Fe;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;2;2;2;2;1;1;2;1;1;1;1;1;2;2;2;2;2;2
AGUAD, Oscar Raúl;UCR;Córdoba;1;2;2;2;2;1;2;2;1;1;1;1;1;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;2;2;1;1;2;2;2;2;2;;2;2;2
AGUIRRE de SORIA, Hilda Clelia;FPV;La Rioja;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9;1;9;0;0;1;1;2
ALBRIEU, Oscar;FPV;Rio Negro;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1
ALCUAZ, Horacio Alberto;GEN;Buenos Aires;2;2;2;2;2;1;1;2;1;1;0;1;2;2;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;2;2;1;1
ALFARO, German Enrique;FPV;Tucumán;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;;;;;;;;;
ALFONSIN, Ricardo Luis;UCR;Buenos Aires;1;1;1;1;1;1;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1
ALIZEGUI, Antonio Anibal;FPV;Entre Ríos;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2
ALONSO, Gumersindo Federico;OTROS;Córdoba;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;2;2;2;0;0;0;1;1;1
ALONSO, Laura;PRO;Cdad. Aut. Bs. As.;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;9;1;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;1;1
ALVAREZ, Elsa María;UCR;Santa Cruz;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ALVAREZ, Jorge Mario;UCR;Santa Fe;1;1;1;1;1;1;1;1;1;1;9;1;1;1;2;1;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;2;1;1
ALVAREZ, Juan José;OTROS;Buenos Aires;2;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2
ALVARO, Héctor Jorge;OTROS;Mendoza;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2
